study_id,species,strain,sex,drug,drug_delivery_mode,drug_delivery_location,route_of_delivery,dose,unit,number_of_doses,time_of_administration,blinded_induction_of_ischaemia,blinded_assessment_of_outcome,random_allocation,sample_size_calculation,use_of_comorbid_animals,animal_welfare_compliance,statement_of_potential_coi,method_of_mcao,type_of_ischaemia,duration_of_ischaemia,anaesthetic,outcome_measure,outcome_measure_type,time_of_assessment,ESi,SEi
Garcia 1995a,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,IVenous,400,mg/kg,Multiple,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Intraluminal filament/suture,Permanent,10080,Ketamine,NeurobehaviouralScore,Motor/sensory,168,53.18091451,24.38351748
Girard 2014a,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,SubCut,100,mg/kg,Single,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Intraluminal filament/suture,Temporary,60,Isoflurane,NeurobehaviouralScore,Motor/sensory,600,75.63408779,51.67482673
Girard 2014b,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,SubCut,100,mg/kg,Single,1440,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Intraluminal filament/suture,Temporary,60,Isoflurane,NeurobehaviouralScore,Motor/sensory,600,22.661042,51.02940211
Maysami 2015a,Mouse,C57BL/6,Male,IL-1RA,Protein,Peripheral,SubCut,200,mg/kg,Multiple,30,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Intraluminal filament/suture,Temporary,45,Isoflurane,NeurobehaviouralScore,Motor/sensory,168,66.87452062,15.09648402
Maysami 2015c,Mouse,Balb/c,Male,IL-1RA,Protein,Peripheral,SubCut,200,mg/kg,Multiple,30,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,electrocoagulation,Permanent,,Isoflurane,NeurobehaviouralScore,Motor/sensory,168,64.80823514,12.14157708
Maysami 2015d,Mouse,Balb/c,Male,IL-1RA,Protein,Peripheral,SubCut,200,mg/kg,Multiple,30,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,electrocoagulation,Permanent,,Isoflurane,NeurobehaviouralScore,Motor/sensory,672,49.58549016,14.58680431
Maysami 2015f,Mouse,C57BL/6,Male,IL-1RA,Protein,Peripheral,SubCut,200,mg/kg,Multiple,30,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Intraluminal filament/suture,Temporary,30,Isoflurane,NeurobehaviouralScore,Motor/sensory,24,51.33819951,10.59607938
Maysami 2015g,Mouse,C57BL/6,Male,IL-1RA,Protein,Peripheral,SubCut,200,mg/kg,Multiple,30,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Intraluminal filament/suture,Temporary,30,Isoflurane,NeurobehaviouralScore,Motor/sensory,24,59.03873745,6.868955362
Maysami 2015j,Mouse,C57BL/6,Male,IL-1RA,Protein,Peripheral,SubCut,200,mg/kg,Multiple,30,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,electrocoagulation,Permanent,,Tribromoethanol,NeurobehaviouralScore,Motor/sensory,168,20,287.7498914
McColl 2007a,Mouse,C57BL/6J,Unknown,IL-1RA,Protein,Peripheral,IPeritoneal,300,mg/kg,Multiple,-30,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Intraluminal filament/suture,Temporary,30,Halothane,NeurobehaviouralScore,Motor/sensory,24,-17,16.73817991
