Pub ID,User Defined 2b,,Higher score is ?,Mean in Control Group,Mean in Treatment Group,Time of Administration (mins),ESi,SEi,lower 95% CL,Upper 95% CL,Drug,Ventiliation,Outcome Measure,Outcome Measure Text,Mean in Sham,ApprovedGeneName,User Defined 1,User Defined 2,User Defined 2a,Transgene,Author ID,Time of Assessment (hrs),Dose,Method of Induction of Injury,User Defined 1a,Strain,DocumentLink,Species ID,Monitoring of Physiological Variables,Unit,Fresh Or Frozen,Type of Culture Medium,Group letter,Drug Group,Quality Score,True No of C,Control%,Treatment%,Outcome Measure ID,Publication Type,Entry Completed,Author for Correspondance,Type of Disease,Year,Sex,Animal,Type of Ischaemia,Anaesthetic ID,Method of Quantification of Injury,Neurological Scale,Method of Haemorrage Identification,Funding Source,Number in Sham,Outcome Measure Type,tblOutcomeMeasure.Notes,Single/ Multiple,Duration of Ischaemia (mins),Route of Drug Delivery,Comorbidity,Cotreatment in both Groups,Cotreatment in Treatment Group Only,Peer Review Publication,Control of Temperature,Random Allocation to Group,Blinded Induction of Ischaemia,Blinded Assessment of Outcome,Use of Comorbid Animals,Sample Size Calculation,Compliance with Animal Welfare Regulations,Statement of Potential Conflicts of Interest,tblPublicationData.Notes,JournalName,Publication Reference,Number in Control Group,Number Affectd by Outcome Measure in Control Group,Number in Treatment Group,Number Affectd by Outcome Measure in Treatment Group,Standard Error (C),Standard Deviation (C),Standard Error (Rx),Standard Deviation (Rx),°C hrs,neutral or not,Stem cell origin,Stem cell detail,Number of Passages,Transfection Or Selection,Transgenic Model Group,Sham data not present when required,Sham data is worse than control,AD drug group,Blinded Assessment of Neurological Score,Effect Size1,SE1,User,Assay Conditions,Assay,Radioligand,BrainAreaSubsection,Last Time Point,Treatment Groups per Control,PublicationID,Blinded Assessment of Infarct Volume,Anaesthetic without marked intrinsic neuroprotective activity,Calculated SD (C),Calculated SD (Rx),Control SD,Treatment SD,Mean(Sham),Mean Rx-Sham,Mean C - Sham,MeanC-Sham',MeanRx-Sham',HigherMeanScore,WhichDenominator,WhichNumerator,Anaestetic,Expr1025,Method of Induction of MCAO,Quantification Method,Effect Size_new,SE_new,MultiplicationFactor,Better Scoring Group,Calculated SD (C)New,Calculated SD (Rx)New,Control SDNew,Treatment SDNew,PooledSE,RawMeanDiff,RawMeanDiff_SE,Age (weeks),Weight of animals (lower) (g),Weight of animals (upper) (g),Mean Weight,SD of Weight
125,Neurological deficit,Motor/sensory,better,7.94,13.29,0,53.18091451,24.38351748,5.389220244,100.9726088,IL1-RA,Unknown,NeurobehaviouralScore,Fig 2 Garcia. 6 motor sensory tests,18,,no correction for oedema,peripheral,Protein,,138,168,2500,17,White blood cell counts,Wistar,#http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1869513/?tool=pubmed#,248,FALSE,mg/kg,,,a,Anti-Inflammatory,4,5,100,46.81908549,98,Full Publication,TRUE,138,Focal,1995,Male,Rat,Permanent,5,2,1,,unknown,,,,Multiple,10080,IVenous,2,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Protein
8.11.11:
Changed spp to Wistar (PS)
Added animal weights (PS)
Blinded assesment of neurological score (PS)
Sham operation performed (PS)

Behavioural scale details in excel (PS)

23-3-12 (SR):  Behavioural data in outcome measures does not match w",10,"Garcia JH, Liu KF, Relton JK. Interleukin-1 receptor antagonist decreases the number of necrotic neurons in rats with middle cerebral artery occlusion. American Journal of Pathology 147 (5) 1995 1477-1486 1995;1477-1486.",5,,4,,,4.34,,3,,1,other,other,,,,FALSE,FALSE,,TRUE,13.29,1.5,,,Garcia. 6 motor sensory tests,,,FALSE,1,109,TRUE,FALSE,4.34,3,43.14115308,-29.82107356,18,-4.71,-10.06,10.06,4.71,13.29,-10.06,-5.35,Ketamine,17,Intraluminal filament/suture,H & E,53.18091451,24.38351748,1,Treatment,4.34,3,-43.14115308,-29.82107356,3.823655693,-5.35,2.564986216,,270,290,,
1002,OFT - Vertical activity,Motor/sensory,,4.2,2.3,30,54.28571429,72.22812998,-87.28142048,195.8528491,IL1-RA,Unknown,NeurobehaviouralScore,Table S7 - jumping,0.7,,unknown,Peripheral,IL-1 RA Tg BM cells,328,18705,24,10000000,17,None,,,1280,TRUE,cells,,,e,Anti-Inflammatory,7,15,100,45.71428571,47974,Full Publication,TRUE,18705,Focal,2016,Male,Mouse,Temporary,2,82,,,Multiple see paper,,,,Single,40,IVenous,2,BM cells,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"3/4 Outcomes complete

Fig 6i grip asymmetry no sham exclude



Right MCAo",7,,15,,17,,,7.8,,6.3,,0,other,other,,,,FALSE,FALSE,,FALSE,2.3,1.527974438,SM,,,,,FALSE,1,19176,FALSE,TRUE,7.8,6.3,-222.8571429,180,0.7,1.6,3.5,3.5,1.6,4.2,3.5,1.9,Isoflurane,17,Intraluminal filament/suture,Toluidine blue,54.28571429,72.22812998,1,Treatment,7.8,6.3,222.8571429,180,7.039886363,1.9,2.493851262,,,,,
1002,OFT - Anxiety,Social interaction/anxiety/depression,,0.0008,0.002,30,54.54545455,13.0813988,28.90591289,80.1849962,IL1-RA,Unknown,NeurobehaviouralScore,Table S7 - center/total distance,0.003,,unknown,Peripheral,IL-1 RA Tg BM cells,328,18705,24,10000000,17,None,,,1280,TRUE,cells,,,e,Anti-Inflammatory,7,15,100,45.45454545,47980,Full Publication,TRUE,18705,Focal,2016,Male,Mouse,Temporary,2,82,,,Multiple see paper,,,,Single,40,IVenous,2,BM cells,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"3/4 Outcomes complete

Fig 6i grip asymmetry no sham exclude



Right MCAo",7,,15,,17,,,0.0006,,0.001,,1,other,other,,,,FALSE,FALSE,,FALSE,0.002,0.000242536,SM,,,,,FALSE,1,19176,FALSE,TRUE,0.0006,0.001,27.27272727,-45.45454545,0.003,-0.001,-0.0022,0.0022,0.001,0.002,-0.0022,-0.0012,Isoflurane,17,Intraluminal filament/suture,Toluidine blue,54.54545455,13.0813988,1,Treatment,0.0006,0.001,-27.27272727,-45.45454545,0.000837456,-0.0012,0.000296666,,,,,
1002,OFT - Anxiety,Social interaction/anxiety/depression,,36,24.2,30,98.33333333,107.2017319,-111.7820613,308.4487279,IL1-RA,Unknown,NeurobehaviouralScore,Table S7 - latency to rear,24,,unknown,Peripheral,IL-1 RA Tg BM cells,328,18705,24,10000000,17,None,,,1280,TRUE,cells,,,e,Anti-Inflammatory,7,15,100,1.666666667,47979,Full Publication,TRUE,18705,Focal,2016,Male,Mouse,Temporary,2,82,,,Multiple see paper,,,,Single,40,IVenous,2,BM cells,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"3/4 Outcomes complete

Fig 6i grip asymmetry no sham exclude



Right MCAo",7,,15,,17,,,49,,9.6,,0,other,other,,,,FALSE,FALSE,,FALSE,24.2,2.328342,SM,,,,,FALSE,1,19176,FALSE,TRUE,49,9.6,-408.3333333,80,24,0.2,12,12,0.2,36,12,11.8,Isoflurane,17,Intraluminal filament/suture,Toluidine blue,98.33333333,107.2017319,1,Treatment,49,9.6,408.3333333,80,34.19968811,11.8,12.11510115,,,,,
1002,OFT - Anxiety,Social interaction/anxiety/depression,,0.2,0.2,30,0,141.6983817,-277.7288281,277.7288281,IL1-RA,Unknown,NeurobehaviouralScore,Table S7 - urinations,0.1,,unknown,Peripheral,IL-1 RA Tg BM cells,328,18705,24,10000000,17,None,,,1280,TRUE,cells,,,e,Anti-Inflammatory,7,15,100,100,47978,Full Publication,TRUE,18705,Focal,2016,Male,Mouse,Temporary,2,82,,,Multiple see paper,,,,Single,40,IVenous,2,BM cells,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"3/4 Outcomes complete

Fig 6i grip asymmetry no sham exclude



Right MCAo",7,,15,,17,,,0.4,,0.4,,0,other,other,,,,FALSE,FALSE,,FALSE,0.2,0.09701425,SM,,,,,FALSE,1,19176,FALSE,TRUE,0.4,0.4,-400,400,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0,Isoflurane,17,Intraluminal filament/suture,Toluidine blue,0,141.6983817,1,Treatment,0.4,0.4,400,400,0.4,0,0.141698382,,,,,
1002,OFT - Anxiety,Social interaction/anxiety/depression,,2.2,0.8,30,100,52.72297303,-3.337027132,203.3370271,IL1-RA,Unknown,NeurobehaviouralScore,Table S7 - droppings,0.8,,unknown,Peripheral,IL-1 RA Tg BM cells,328,18705,24,10000000,17,None,,,1280,TRUE,cells,,,e,Anti-Inflammatory,7,15,100,0,47977,Full Publication,TRUE,18705,Focal,2016,Male,Mouse,Temporary,2,82,,,Multiple see paper,,,,Single,40,IVenous,2,BM cells,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"3/4 Outcomes complete

Fig 6i grip asymmetry no sham exclude



Right MCAo",7,,15,,17,,,2.7,,1,,0,other,other,,,,FALSE,FALSE,,FALSE,0.8,0.242535625,SM,,,,,FALSE,1,19176,FALSE,TRUE,2.7,1,-192.8571429,71.42857143,0.8,0,1.4,1.4,0,2.2,1.4,1.4,Isoflurane,17,Intraluminal filament/suture,Toluidine blue,100,52.72297303,1,Treatment,2.7,1,192.8571429,71.42857143,1.983767459,1.4,0.702741597,,,,,
1002,OFT - Anxiety,Social interaction/anxiety/depression,,8.7,5,30,90.24390244,32.09962214,27.32864305,153.1591618,IL1-RA,Unknown,NeurobehaviouralScore,Table S7 - grooming,4.6,,unknown,Peripheral,IL-1 RA Tg BM cells,328,18705,24,10000000,17,None,,,1280,TRUE,cells,,,e,Anti-Inflammatory,7,15,100,9.756097561,47975,Full Publication,TRUE,18705,Focal,2016,Male,Mouse,Temporary,2,82,,,Multiple see paper,,,,Single,40,IVenous,2,BM cells,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"3/4 Outcomes complete

Fig 6i grip asymmetry no sham exclude



Right MCAo",7,,15,,17,,,4.7,,2.1,,1,other,other,,,,FALSE,FALSE,,FALSE,5,0.509324813,SM,,,,,FALSE,1,19176,FALSE,TRUE,4.7,2.1,-114.6341463,51.2195122,4.6,0.4,4.1,4.1,0.4,8.7,4.1,3.7,Isoflurane,17,Intraluminal filament/suture,Toluidine blue,90.24390244,32.09962214,1,Treatment,4.7,2.1,114.6341463,51.2195122,3.558183057,3.7,1.260471952,,,,,
1002,OFT - Vertical activity,Motor/sensory,,24.1,55.9,30,138.8646288,33.90850383,72.40396131,205.3252963,IL1-RA,Unknown,NeurobehaviouralScore,Table S7 - centre rearings,47,,unknown,Peripheral,IL-1 RA Tg BM cells,328,18705,24,10000000,17,None,,,1280,TRUE,cells,,,e,Anti-Inflammatory,7,15,100,-38.86462882,47973,Full Publication,TRUE,18705,Focal,2016,Male,Mouse,Temporary,2,82,,,Multiple see paper,,,,Single,40,IVenous,2,BM cells,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"3/4 Outcomes complete

Fig 6i grip asymmetry no sham exclude



Right MCAo",7,,15,,17,,,15.4,,27.5,,1,other,other,,,,FALSE,FALSE,,FALSE,55.9,6.669729688,SM,,,,,FALSE,1,19176,FALSE,TRUE,15.4,27.5,67.2489083,-120.0873362,47,8.9,-22.9,22.9,8.9,55.9,-22.9,-31.8,Isoflurane,17,Intraluminal filament/suture,Toluidine blue,138.8646288,33.90850383,1,Treatment,15.4,27.5,-67.2489083,-120.0873362,22.67174453,-31.8,8.031373775,,,,,
1002,OFT - Vertical activity,Motor/sensory,,51.9,54.9,30,-24,63.78833626,-149.0251391,101.0251391,IL1-RA,Unknown,NeurobehaviouralScore,Table S7 - wall rearings,39.4,,unknown,Peripheral,IL-1 RA Tg BM cells,328,18705,24,10000000,17,None,,,1280,TRUE,cells,,,e,Anti-Inflammatory,7,15,100,124,47972,Full Publication,TRUE,18705,Focal,2016,Male,Mouse,Temporary,2,82,,,Multiple see paper,,,,Single,40,IVenous,2,BM cells,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"3/4 Outcomes complete

Fig 6i grip asymmetry no sham exclude



Right MCAo",7,,15,,17,,,20.8,,24.3,,0,other,other,,,,FALSE,FALSE,,FALSE,54.9,5.893615688,SM,,,,,FALSE,1,19176,FALSE,TRUE,20.8,24.3,-166.4,194.4,39.4,15.5,12.5,12.5,15.5,54.9,15.5,3,Isoflurane,17,Intraluminal filament/suture,Toluidine blue,19.35483871,63.78833626,1,Treatment,20.8,24.3,134.1935484,156.7741935,22.73382209,-3,8.053364498,,,,,
1002,OFT - Horizontal,Motor/sensory,,150.8,131.2,30,560,623.7712563,-662.5916624,1782.591662,IL1-RA,Unknown,NeurobehaviouralScore,Table S7 - number of zone changes,147.3,,unknown,Peripheral,IL-1 RA Tg BM cells,328,18705,24,10000000,17,None,,,1280,TRUE,cells,,,e,Anti-Inflammatory,7,15,100,-460,47884,Full Publication,TRUE,18705,Focal,2016,Male,Mouse,Temporary,2,82,,,Multiple see paper,,,,Single,40,IVenous,2,BM cells,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"3/4 Outcomes complete

Fig 6i grip asymmetry no sham exclude



Right MCAo",7,,15,,17,,,65.9,,56.4,,0,other,other,,,,FALSE,FALSE,,FALSE,131.2,13.67900925,SM,,,,,FALSE,1,19176,FALSE,TRUE,65.9,56.4,-1882.857143,1611.428571,147.3,-16.1,3.5,3.5,16.1,150.8,-16.1,-19.6,Isoflurane,17,Intraluminal filament/suture,Toluidine blue,121.7391304,623.7712563,1,Treatment,65.9,56.4,-409.3167702,-350.310559,61.01767503,19.6,21.61526452,,,,,
